pri_key,dates,materials,orders
216,2019/12/22,12293783,108
222,2019/12/23,12293783,324
280,2019/12/25,12293783,108
234,2019/12/27,12293783,423
378,2019/12/29,12293783,216
357,2019/12/30,12293783,162
387,2019/12/31,12293783,540
519,2020/01/01,12293783,108
548,2020/01/02,12293783,648
565,2020/01/03,12293783,747
632,2020/01/06,12293783,108
661,2020/01/07,12293783,702
710,2020/01/08,12293783,324
744,2020/01/09,12293783,324
776,2020/01/10,12293783,540
820,2020/01/13,12293783,1296
21,2020/01/14,12293783,666
962,2020/01/15,12293783,594
1039,2020/01/16,12293783,108
294,2020/01/17,12293783,378
1136,2020/01/20,12293783,162
1249,2020/01/21,12293783,522
1271,2020/01/22,12293783,648
1390,2020/01/23,12293783,153
1441,2020/01/24,12293783,1080
1475,2020/01/27,12293783,918
1582,2020/01/28,12293783,1062
1682,2020/01/29,12293783,594
1745,2020/01/30,12293783,216
1815,2020/01/31,12293783,756
1026,2020/02/03,12293783,297
1928,2020/02/04,12293783,1566
2005,2020/02/05,12293783,513
2042,2020/02/06,12293783,270
42,2020/02/07,12293783,918
2168,2020/02/10,12293783,756
2269,2020/02/11,12293783,544
2327,2020/02/12,12293783,108
2308,2020/02/13,12293783,324
2395,2020/02/14,12293783,684
2476,2020/02/17,12293783,270
2499,2020/02/18,12293783,342
2558,2020/02/19,12293783,54
2677,2020/02/20,12293783,108
2685,2020/02/21,12293783,702
2766,2020/02/24,12293783,648
