pri_key,dates,materials,orders
290,2019/12/27,12365978,5148
364,2019/12/30,12365978,594
427,2019/12/31,12365978,396
532,2020/01/02,12365978,495
603,2020/01/03,12365978,594
674,2020/01/07,12365978,3861
761,2020/01/09,12365978,297
804,2020/01/10,12365978,792
903,2020/01/14,12365978,1188
1090,2020/01/17,12365978,693
1216,2020/01/20,12365978,3168
1280,2020/01/21,12365978,792
1348,2020/01/22,12365978,396
1383,2020/01/23,12365978,1188
1564,2020/01/27,12365978,5049
1612,2020/01/28,12365978,396
1712,2020/01/29,12365978,396
1762,2020/01/30,12365978,396
1831,2020/01/31,12365978,594
1882,2020/02/03,12365978,693
1924,2020/02/04,12365978,8415
2148,2020/02/07,12365978,396
2344,2020/02/12,12365978,396
2377,2020/02/13,12365978,3564
2463,2020/02/14,12365978,4455
2528,2020/02/18,12365978,4752
2581,2020/02/19,12365978,594
2671,2020/02/20,12365978,198
