pri_key,dates,clients,orders,materials
376,2019/12/30,c2,88,12320670
521,2020/01/02,c2,165,12320670
670,2020/01/07,c2,154,12320670
919,2020/01/14,c2,176,12320670
1075,2020/01/16,c2,209,12320670
1207,2020/01/20,c2,154,12320670
1242,2020/01/21,c2,264,12320670
1396,2020/01/23,c2,990,12320670
1605,2020/01/28,c2,132,12320670
1750,2020/01/30,c2,132,12320670
2073,2020/02/06,c2,99,12320670
2285,2020/02/11,c2,143,12320670
2364,2020/02/13,c2,176,12320670
2545,2020/02/18,c2,132,12320670
2675,2020/02/20,c2,132,12320670
